Servo1,Servo2,Servo3,Servo4,Step
125.9,128.8,180,28.6,1
125.7,128.7,180,28.5,2
125.4,128.5,180,28.2,3
125.1,128.3,180,28,4
124.9,128.1,180,27.8,5
124.6,128,180,27.6,6
124.4,127.9,180,27.4,7
124.2,127.7,180,27.2,8
124,127.6,180,27.1,9
123.8,127.5,180,26.9,10
123.6,127.3,180,26.7,11
123.3,127.2,180,26.5,12
123.1,127.1,180,26.4,13
122.9,127,180,26.2,14
122.7,126.8,180,26,15
122.4,126.7,180,25.8,16
122.2,126.6,180,25.7,17
122,126.5,180,25.5,18
121.8,126.4,180,25.3,19
121.5,126.2,180,25.2,20
121.3,126.1,180,25,21
121.1,126,180,24.9,22
120.8,125.9,180,24.7,23
120.6,125.8,180,24.5,24
120.4,125.7,180,24.4,25
120.1,125.6,180,24.2,26
119.9,125.5,180,24.1,27
119.7,125.3,180,23.9,28
119.4,125.2,180,23.7,29
119.2,125.1,180,23.6,30
118.9,125,180,23.4,31
118.7,124.9,180,23.3,32
118.4,124.8,180,23.1,33
118.2,124.7,180,23,34
118,124.6,180,22.8,35
117.7,124.5,180,22.7,36
117.5,124.4,180,22.5,37
117.2,124.3,180,22.4,38
117,124.2,180,22.3,39
116.7,124.1,180,22.1,40
116.5,124,180,22,41
116.2,124,180,21.8,42
115.9,123.9,180,21.7,43
115.7,123.8,180,21.6,44
115.4,123.7,180,21.4,45
115.2,123.6,180,21.3,46
114.9,123.5,180,21.2,47
114.6,123.4,180,21,48
114.4,123.3,180,20.9,49
114.1,123.3,180,20.8,50
113.9,123.2,180,20.6,51
113.6,123.1,180,20.5,52
113.3,123,180,20.4,53
113.1,122.9,180,20.3,54
112.8,122.9,180,20.1,55
112.5,122.8,180,20,56
112.2,122.7,180,19.9,57
112,122.6,180,19.8,58
111.7,122.6,180,19.6,59
111.4,122.5,180,19.5,60
111.2,122.4,180,19.4,61
110.9,122.4,180,19.3,62
110.6,122.3,180,19.2,63
110.3,122.2,180,19.1,64
110,122.2,180,19,65
109.8,122.1,180,18.9,66
109.5,122,180,18.8,67
109.2,122,180,18.6,68
108.9,121.9,180,18.5,69
108.6,121.8,180,18.4,70
108.3,121.8,180,18.3,71
108.1,121.7,180,18.2,72
107.8,121.7,180,18.1,73
107.5,121.6,180,18,74
107.2,121.6,180,17.9,75
106.9,121.5,180,17.8,76
106.6,121.4,180,17.8,77
106.3,121.4,180,17.7,78
106,121.3,180,17.6,79
105.7,121.3,180,17.5,80
105.5,121.2,180,17.4,81
105.2,121.2,180,17.3,82
104.9,121.1,180,17.2,83
104.6,121.1,180,17.1,84
104.3,121.1,180,17.1,85
104,121,180,17,86
103.7,121,180,16.9,87
103.4,120.9,180,16.8,88
103.1,120.9,180,16.8,89
102.8,120.8,180,16.7,90
102.5,120.8,180,16.6,91
102.2,120.8,180,16.6,92
101.9,120.7,180,16.5,93
101.6,120.7,180,16.4,94
101.3,120.7,180,16.4,95
100.9,120.6,180,16.3,96
100.6,120.6,180,16.2,97
100.3,120.6,180,16.2,98
100,120.5,180,16.1,99
99.7,120.5,180,16.1,100
99.4,120.5,180,16,101
99.1,120.4,180,15.9,102
98.8,120.4,180,15.9,103
98.5,120.4,180,15.8,104
98.2,120.4,180,15.8,105
97.9,120.3,180,15.8,106
97.6,120.3,180,15.7,107
97.2,120.3,180,15.7,108
96.9,120.3,180,15.6,109
96.6,120.3,180,15.6,110
96.3,120.2,180,15.6,111
96,120.2,180,15.5,112
95.7,120.2,180,15.5,113
95.4,120.2,180,15.5,114
95.1,120.2,180,15.4,115
94.7,120.1,180,15.4,116
94.4,120.1,180,15.4,117
94.1,120.1,180,15.3,118
93.8,120.1,180,15.3,119
93.5,120.1,180,15.3,120
93.2,120.1,180,15.3,121
92.8,120.1,180,15.3,122
92.5,120.1,180,15.2,123
92.2,120.1,180,15.2,124
91.9,120.1,180,15.2,125
91.6,120.1,180,15.2,126
91.3,120,180,15.2,127
91,120,180,15.2,128
90.7,119.9,180,15.3,129
90.5,119.8,180,15.4,130
90.3,119.6,180,15.6,131
90.2,119.3,180,15.9,132
90.1,119,180,16.2,133
90,118.6,180,16.6,134
90,118.1,180,17,135
90,117.6,180,17.4,136
90,117.1,180,17.9,137
90,116.7,180,18.4,138
90,116.2,180,18.8,139
90,115.7,180,19.3,140
90,115.2,180,19.7,141
90,114.7,180,20.2,142
90,114.3,180,20.7,143
90,113.8,180,21.2,144
90,113.3,180,21.6,145
90,112.9,180,22.1,146
90,112.4,180,22.6,147
90,111.9,180,23.1,148
90,111.5,180,23.5,149
90,111,180,24,150
90,110.5,180,24.5,151
90,110.1,180,25,152
90,109.6,180,25.5,153
90,109.2,180,25.9,154
90,108.7,180,26.4,155
90,108.2,180,26.9,156
90,107.8,180,27.4,157
90,107.4,180,27.9,158
90,106.9,180,28.4,159
90,106.5,180,28.9,160
90,106,180,29.4,161
90,105.6,180,29.9,162
90,105.2,180,30.4,163
90,104.7,180,30.8,164
90,104.3,180,31.3,165
90,103.9,180,31.8,166
90,103.4,180,32.3,167
90,103.1,180,32.8,168
90.1,102.7,180,33.2,169
90.2,102.5,180,33.5,170
90.3,102.3,180,33.7,171
90.5,102.2,180,33.8,172
90.7,102.1,180,33.9,173
90.9,102.2,180,33.8,174
91.2,102.3,180,33.7,175
91.5,102.4,180,33.6,176
91.8,102.5,180,33.4,177
92.1,102.7,180,33.3,178
92.4,102.8,180,33.2,179
92.7,102.9,180,33,180
93,103.1,180,32.9,181
93.4,103.2,180,32.8,182
93.7,103.4,180,32.6,183
94,103.5,180,32.5,184
94.3,103.7,180,32.3,185
94.6,103.8,180,32.2,186
94.9,104,180,32.1,187
95.2,104.1,180,31.9,188
95.5,104.3,180,31.8,189
95.8,104.4,180,31.7,190
96.1,104.6,180,31.6,191
96.4,104.7,180,31.4,192
96.7,104.9,180,31.3,193
97,105.1,180,31.2,194
97.3,105.2,180,31.1,195
97.6,105.4,180,30.9,196
97.9,105.6,180,30.8,197
98.2,105.7,180,30.7,198
98.5,105.9,180,30.6,199
98.8,106.1,180,30.5,200
99.1,106.2,180,30.4,201
99.4,106.4,180,30.2,202
99.7,106.6,180,30.1,203
100,106.8,180,30,204
100.3,107,180,29.9,205
100.6,107.1,180,29.8,206
100.9,107.3,180,29.7,207
101.1,107.5,180,29.6,208
101.4,107.7,180,29.5,209
101.7,107.9,180,29.4,210
102,108,180,29.3,211
102.3,108.2,180,29.2,212
102.6,108.4,180,29.1,213
102.9,108.6,180,29,214
103.2,108.8,180,28.9,215
103.5,109,180,28.8,216
103.8,109.2,180,28.7,217
104,109.4,180,28.6,218
104.3,109.6,180,28.5,219
104.6,109.8,180,28.5,220
104.9,110,180,28.4,221
105.2,110.2,180,28.3,222
105.5,110.4,180,28.2,223
105.8,110.6,180,28.1,224
106,110.8,180,28.1,225
106.3,111,180,28,226
106.6,111.2,180,27.9,227
106.9,111.4,180,27.9,228
107.2,111.6,180,27.8,229
107.4,111.8,180,27.7,230
107.7,112,180,27.7,231
108,112.2,180,27.6,232
108.3,112.4,180,27.5,233
108.5,112.6,180,27.5,234
108.8,112.8,180,27.4,235
109.1,113,180,27.4,236
109.4,113.2,180,27.3,237
109.6,113.4,180,27.3,238
109.9,113.6,180,27.2,239
110.2,113.8,180,27.2,240
110.4,114,180,27.1,241
110.7,114.3,180,27.1,242
111,114.5,180,27,243
111.2,114.7,180,27,244
111.5,114.9,180,27,245
111.8,115.1,180,26.9,246
112,115.3,180,26.9,247
112.3,115.5,180,26.9,248
112.6,115.8,180,26.8,249
112.8,116,180,26.8,250
113.1,116.2,180,26.8,251
113.3,116.4,180,26.8,252
113.6,116.6,180,26.7,253
113.8,116.8,180,26.7,254
114.1,117,180,26.7,255
114.4,117.3,180,26.7,256
114.6,117.5,180,26.7,257
114.9,117.7,180,26.7,258
115.1,117.9,180,26.7,259
115.4,118.1,180,26.7,260
115.6,118.4,180,26.7,261
115.9,118.6,180,26.7,262
116.1,118.8,180,26.7,263
116.3,119,180,26.7,264
116.6,119.2,180,26.7,265
116.8,119.5,180,26.7,266
117.1,119.7,180,26.7,267
117.3,119.9,180,26.7,268
117.6,120.1,180,26.7,269
117.8,120.3,180,26.7,270
118,120.6,180,26.7,271
118.3,120.8,180,26.8,272
118.5,121,180,26.8,273
118.7,121.2,180,26.8,274
119,121.5,180,26.8,275
119.2,121.7,180,26.9,276
119.4,121.9,180,26.9,277
119.7,122.1,180,26.9,278
119.9,122.4,180,27,279
120.1,122.6,180,27,280
120.4,122.8,180,27,281
120.6,123,180,27.1,282
120.8,123.3,180,27.1,283
121,123.5,180,27.1,284
121.3,123.7,180,27.2,285
121.5,123.9,180,27.2,286
121.7,124.2,180,27.3,287
121.9,124.4,180,27.3,288
122.1,124.6,180,27.4,289
122.4,124.9,180,27.5,290
122.6,125.1,180,27.5,291
122.8,125.3,180,27.6,292
123,125.5,180,27.6,293
123.2,125.8,180,27.7,294
123.4,126,180,27.8,295
123.6,126.2,180,27.8,296
123.9,126.5,180,27.9,297
124.1,126.7,180,28,298
124.3,126.9,180,28,299
124.5,127.2,180,28.1,300
124.7,127.4,180,28.2,301
124.9,127.6,180,28.3,302
125.1,127.9,180,28.3,303
125.3,128.1,180,28.4,304
125.4,128.3,180,28.5,305
125.5,128.5,180,28.7,306
125.6,128.7,180,28.8,307
125.6,128.9,180,29,308
125.6,129.1,180,29.2,309
125.5,129.3,180,29.4,310
125.4,129.5,180,29.6,311
125.3,129.7,180,29.8,312
125.1,129.8,180,30,313
125,130,180,30.3,314
124.9,130.2,180,30.5,315
124.8,130.4,180,30.7,316
124.6,130.5,180,31,317
124.5,130.7,180,31.2,318
124.4,130.9,180,31.4,319
124.3,131.1,180,31.7,320
124.1,131.3,180,31.9,321
124,131.5,180,32.1,322
123.9,131.6,180,32.4,323
123.8,131.8,180,32.6,324
123.7,132,180,32.8,325
123.5,132.2,180,33.1,326
123.4,132.4,180,33.3,327
123.3,132.6,180,33.5,328
123.2,132.8,180,33.8,329
123.1,133,180,34,330
123,133.2,180,34.3,331
122.9,133.4,180,34.5,332
122.7,133.6,180,34.7,333
122.6,133.8,180,35,334
122.5,134,180,35.2,335
122.4,134.2,180,35.5,336
122.3,134.4,180,35.7,337
122.2,134.6,180,36,338
122.1,134.8,180,36.2,339
122,135,180,36.5,340
121.9,135.2,180,36.7,341
121.8,135.4,180,37,342
121.7,135.6,180,37.2,343
121.5,135.8,180,37.5,344
121.4,136,180,37.7,345
121.3,136.2,180,38,346
